code,name,mold_type,state,cavity_count,part_weight_kg,cycle_time_min,max_shots,current_shots,acquisition_cost,maintenance_cost,machine_code
FRM-00001,Motorblock V6 Form,die_cast,active,1,28.500,4.5,100000,42000,185000.00,12500.00,MCH-0001
FRM-00002,Zylinderkopf 4-Zyl Form,die_cast,active,1,12.800,3.2,120000,67000,145000.00,9800.00,MCH-0002
FRM-00003,Getriebegehäuse 6-Gang Form,die_cast,active,1,18.200,3.8,80000,31000,162000.00,8200.00,MCH-0003
FRM-00004,Turboladergehäuse Form,die_cast,active,2,2.400,1.2,200000,89000,95000.00,5600.00,MCH-0005
FRM-00005,Ölwanne Alu Form,die_cast,active,1,4.800,2.0,150000,102000,72000.00,7100.00,MCH-0024
FRM-00006,Ansaugbrücke Form,die_cast,active,1,3.200,1.8,180000,54000,68000.00,3200.00,MCH-0002
FRM-00007,Bremsscheibe VA Sandform,sand,active,2,8.500,6.0,5000,3200,18000.00,2100.00,MCH-0014
FRM-00008,Bremsscheibe HA Sandform,sand,active,2,9.200,6.5,5000,2800,19000.00,1800.00,MCH-0014
FRM-00009,Schwungrad Sandform,sand,active,1,14.500,8.0,4000,1500,22000.00,1400.00,MCH-0015
FRM-00010,Pumpengehäuse Kokille,permanent,active,1,6.300,3.5,60000,28000,55000.00,4200.00,MCH-0006
FRM-00011,Ventilkörper Kokille,permanent,active,4,1.200,2.0,80000,45000,48000.00,3800.00,MCH-0006
FRM-00012,Wasserpumpengehäuse Kokille,permanent,active,2,2.100,2.5,70000,52000,42000.00,3100.00,MCH-0007
FRM-00013,Lagerdeckel Kokille,permanent,active,6,0.450,1.5,100000,71000,35000.00,2500.00,MCH-0007
FRM-00014,Radnabe vorn Kokille,permanent,active,1,5.800,4.0,50000,22000,62000.00,4800.00,MCH-0006
FRM-00015,Achsschenkel Form,die_cast,active,1,7.200,3.0,90000,38000,98000.00,6200.00,MCH-0004
FRM-00016,Kurbelgehäuse-Unterteil Form,die_cast,active,1,22.500,5.0,70000,19000,210000.00,8900.00,MCH-0001
FRM-00017,Kompressorgehäuse Feinguss,investment,active,1,1.800,12.0,500,280,8500.00,1200.00,
FRM-00018,Turbinenrad Feinguss,investment,active,1,0.950,15.0,400,190,12000.00,1800.00,
FRM-00019,Zylinderrohr DN100 Schleuder,centrifugal,active,1,35.000,8.0,0,0,5000.00,800.00,MCH-0023
FRM-00020,Lagerbuchse Schleuder,centrifugal,active,1,4.500,3.0,0,0,3500.00,500.00,MCH-0023
FRM-00021,Differentialgehäuse Form,die_cast,maintenance,1,15.600,3.5,100000,88000,135000.00,15200.00,MCH-0005
FRM-00022,Kupplungsglocke Form,die_cast,active,1,11.200,3.0,90000,41000,118000.00,7600.00,MCH-0025
FRM-00023,Lenkgetriebegehäuse Form,die_cast,active,1,9.800,2.8,110000,63000,105000.00,8100.00,MCH-0003
FRM-00024,Kolbenrohling D82 Kokille,permanent,active,4,0.380,1.0,150000,112000,28000.00,4500.00,MCH-0007
FRM-00025,Kolbenrohling D92 Kokille,permanent,active,4,0.520,1.2,150000,95000,32000.00,4100.00,MCH-0007
FRM-00026,Nockenwellengehäuse Sandform,sand,active,1,5.400,7.0,3000,1200,15000.00,900.00,MCH-0015
FRM-00027,Abgaskrümmer Zyl1-3 Sandform,sand,active,1,4.100,6.5,3500,2100,16000.00,1100.00,MCH-0016
FRM-00028,Flanschplatte DN150 Kokille,permanent,active,2,3.800,2.8,60000,33000,38000.00,2800.00,MCH-0006
FRM-00029,Hydraulikblock Form,die_cast,retired,1,8.900,2.5,80000,80000,92000.00,18500.00,
FRM-00030,Zahnradrohling Sandform,sand,new,1,2.200,5.0,4000,0,11000.00,0.00,MCH-0014
