order_number,customer,customer_reference,state,priority,date_planned
GA-2026-00001,Volkswagen AG,PO-45210-A,done,0,2025-09-15
GA-2026-00002,BMW AG,PO-78432-B,done,0,2025-09-22
GA-2026-00003,Mercedes-Benz AG,PO-31287-A,done,1,2025-10-01
GA-2026-00004,Bosch GmbH,PO-56789-C,done,0,2025-10-10
GA-2026-00005,ZF Friedrichshafen AG,PO-12345-A,done,0,2025-10-18
GA-2026-00006,Continental AG,PO-67891-B,done,0,2025-10-25
GA-2026-00007,Volkswagen AG,PO-45211-A,done,2,2025-11-01
GA-2026-00008,Audi AG,PO-89012-A,done,0,2025-11-08
GA-2026-00009,Porsche AG,PO-34567-C,done,1,2025-11-15
GA-2026-00010,BMW AG,PO-78433-B,done,0,2025-11-22
GA-2026-00011,MAHLE GmbH,PO-23456-A,done,0,2025-12-01
GA-2026-00012,Schaeffler AG,PO-56790-B,done,0,2025-12-08
GA-2026-00013,ThyssenKrupp AG,PO-91234-A,quality_check,1,2025-12-15
GA-2026-00014,Rheinmetall AG,PO-67892-C,done,0,2025-12-20
GA-2026-00015,MAN SE,PO-34568-A,done,0,2026-01-05
GA-2026-00016,Volkswagen AG,PO-45212-B,in_production,0,2026-01-12
GA-2026-00017,BMW AG,PO-78434-A,in_production,2,2026-01-15
GA-2026-00018,Mercedes-Benz AG,PO-31288-A,in_production,0,2026-01-20
GA-2026-00019,Bosch GmbH,PO-56791-C,in_production,1,2026-01-25
GA-2026-00020,Continental AG,PO-67893-B,quality_check,0,2026-01-28
GA-2026-00021,Audi AG,PO-89013-A,in_production,0,2026-02-01
GA-2026-00022,Porsche AG,PO-34569-C,confirmed,1,2026-02-05
GA-2026-00023,ZF Friedrichshafen AG,PO-12346-A,confirmed,0,2026-02-10
GA-2026-00024,MAHLE GmbH,PO-23457-B,confirmed,0,2026-02-15
GA-2026-00025,Volkswagen AG,PO-45213-A,confirmed,0,2026-02-18
GA-2026-00026,BMW AG,PO-78435-A,draft,0,2026-02-22
GA-2026-00027,Mercedes-Benz AG,PO-31289-B,draft,1,2026-02-25
GA-2026-00028,Schaeffler AG,PO-56792-A,draft,0,2026-03-01
GA-2026-00029,Rheinmetall AG,PO-67894-C,draft,0,2026-03-05
GA-2026-00030,Volkswagen AG,PO-45214-B,cancelled,0,2025-11-10
